Actividad Institucional,Adefas,Aprobado,Ciclo,Clave de cartera,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción de la entidad federativa,Descripción de la modalidad del programa presupuestario,Devengado,Ejercicio,Ejercido,Entidad Federativa,Finalidad,Fuente de Financiamiento,Función,Grupo Funcional,Modalidad del Programa presupuestario,Modificado,Objeto del Gasto,Pagado,Programa Presupuestario,Ramo,Subfunción,Tipo de Gasto,Unidad Responsable
9,," 241,143.0 ",2010,,Gobierno,Recursos fiscales,Gobernación,,Cuotas para el seguro de vida del personal civil,Conducción de la política de comunicación social de la Administración Pública Federal y la relación con los medios de comunicación,Gobernación,Política de Comunicación y Medios,Gasto corriente,Dirección General de Comunicación Social,Comunicación Social del Gobierno Federal,,"Planeación, seguimiento y evaluación de políticas públicas",,," 233,459.0 ",,1.0,1.0,4,,P,,1404.0,,5.0,4,3,1.0,111
10,0.00,"5,000.00",2015,5096270021,,Recursos fiscales,Transporte,Desarrollo Económico,Servicio de energía eléctrica,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Chiapas,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Chiapas,Proyectos de Inversión,0.00,0.00,,7.0,,1.0,5,3.0,K,0.00,31101.0,0.00,31.0,9,1,3.0,627
10,," 1,500.0 ",2013,37963,Desarrollo Económico,Recursos fiscales,Transporte,,Servicio de agua,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Durango,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Durango,Proyectos de Inversión, 375.0 ,, 375.0 ,10.0,3.0,1.0,5,,K,,31301.0,,31.0,9,1,3.0,630
6,, -   ,2012,0,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Productos alimenticios para el personal derivado de actividades extraordinarias,Programa de Apoyo al Ingreso Agropecuario: PROCAMPO para Vivir Mejor,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Delegación en Querétaro,Elevar el ingreso de los productores y el empleo rural,Querétaro,Sujetos a Reglas de Operación,,, -   ,22.0,3.0,1.0,2,,S,,22106.0,,231.0,8,1,7.0,142
19,," 112,113.0 ",2013,0,Desarrollo Social,Recursos fiscales,Salud,,Aportaciones al seguro de cesantía en edad avanzada y vejez,Capacitación técnica y gerencial de recursos humanos para la salud,Salud,Generación de Recursos para la Salud,Gasto corriente,"Centros de Integración Juvenil, A.C.",Formación y capacitación de recursos humanos acordes a las necesidades y demandas de atención a la salud,Distrito Federal,Prestación de Servicios Públicos," 112,113.0 ",," 112,113.0 ",9.0,2.0,1.0,3,,E,,14105.0,,19.0,12,3,1.0,M7K
3,0.00,0.00,2015,0,,Recursos fiscales,Protección Ambiental,Desarrollo Social,"Combustibles, lubricantes y aditivos para maquinaria, equipo de producción y servicios administrativos",Programa para atender desastres naturales,Medio Ambiente y Recursos Naturales,Administración del Agua,Gasto corriente,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Durango,Desastres Naturales,0.00,0.00,,10.0,,1.0,1,2.0,N,0.00,26105.0,0.00,1.0,16,2,1.0,B00
10,," 3,670,247.0 ",2010,,Desarrollo Social,Recursos fiscales,Educación,,Congresos y convenciones,Normar los servicios educativos,Educación Pública,Educación Media Superior,Gasto corriente,Dirección General del Bachillerato,Diseño y aplicación de la política educativa,,Regulación y supervisión,,," 4,133,890.0 ",,2.0,1.0,0,,G,,3804.0,,1.0,11,2,1.0,616
3,,1011407.0,2011,,Desarrollo Económico,Recursos fiscales,Temas Empresariales,,Sueldos base,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,"Micro, Pequeñas y Medianas Empresas",Gasto corriente,Delegación en San Luis Potosí,"Micro, Pequeñas y Medianas Empresas productivas y competitivas",,Prestación de Servicios Públicos,,,1075158.0,,3.0,1.0,4,,E,,11301.0,,9.0,10,1,1.0,744
5, -   ," 3,996,647 ",2014, 0 ,,Recursos fiscales,Transporte,Desarrollo Económico,Viáticos nacionales para servidores públicos en el desempeño de funciones oficiales,Servicios de ayudas a la navegación aérea,Comunicaciones y Transportes,Transporte Aéreo,Gasto corriente,Servicios a la Navegación en el Espacio Aéreo Mexicano,Aeropuertos eficientes y competitivos, Distrito Federal ,Prestación de Servicios Públicos," 2,132,174 "," 2,132,174 ",,9.0,,1.0,5,3.0,E," 2,132,174 ",37504.0," 2,132,174 ",10.0,9,4,1.0,C00
10, -   ," 2,500,000 ",2014, 0 ,,Recursos fiscales,Educación,Desarrollo Social,Otras asesorías para la operación de programas,Diseño y aplicación de la política educativa,Educación Pública,Otros Servicios Educativos y Actividades Inherentes,Gasto corriente,Dirección General de Planeación y Estadística Educativa,Diseño y aplicación de la política educativa, Distrito Federal ,"Planeación, seguimiento y evaluación de políticas públicas", -   , -   ,,9.0,,1.0,5,2.0,P, -   ,33104.0, -   ,1.0,11,6,1.0,210
7, -   ," 43,284 ",2014, 0 ,,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",Desarrollo Económico,Otras prestaciones,Protección de los derechos de los consumidores y el desarrollo del Sistema Nacional de Protección al Consumidor,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Procuraduría Federal del Consumidor,Equidad en las relaciones de consumo, Yucatán ,Prestación de Servicios Públicos," 75,099 "," 75,099 ",,31.0,,1.0,1,3.0,E," 75,099 ",15901.0," 75,099 ",5.0,10,1,1.0,LAT
8,," 6,132.0 ",2013,0,Desarrollo Social,Recursos fiscales,Protección Ambiental,,Viáticos nacionales para labores en campo y de supervisión,Consolidar el Sistema Nacional de Áreas Naturales Protegidas,Medio Ambiente y Recursos Naturales,Protección de la Diversidad Biológica y del Paisaje,Gasto corriente,Comisión Nacional de Áreas Naturales Protegidas,Conservación de la biodiversidad en ecosistemas saludables,Sinaloa,Regulación y supervisión, -   ,, -   ,25.0,2.0,1.0,1,,G,,37501.0,,13.0,16,5,1.0,F00
1,0.00,0.00,2015,0,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Productos alimenticios para el personal en las instalaciones de las dependencias y entidades,"Otorgamiento de prerrogativas a partidos políticos, fiscalización de sus recursos y administración de los tiempos del estado en radio y televisión",Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Sinaloa,Específicos,442.00,442.00,,25.0,,1.0,3,1.0,R,442.00,22104.0,442.00,9.0,22,6,1.0,200
10," 71,280 "," 36,000 ",2014, 0 ,,Recursos fiscales,Educación,Desarrollo Social,Subcontratación de servicios con terceros,Diseño y aplicación de la política educativa,Educación Pública,Otros Servicios Educativos y Actividades Inherentes,Gasto corriente,Dirección General de Comunicación Social,Diseño y aplicación de la política educativa, Distrito Federal ,"Planeación, seguimiento y evaluación de políticas públicas"," 3,944,694 "," 3,944,694 ",,9.0,,1.0,5,2.0,P," 3,944,694 ",33901.0," 3,873,414 ",1.0,11,6,1.0,110
10,," 13,840 ",2012,9096330001,Desarrollo Económico,Recursos fiscales,Transporte,,Viáticos nacionales para servidores públicos en el desempeño de funciones oficiales,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Hidalgo,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Hidalgo,Proyectos de Inversión,,," 9,050 ",13.0,3.0,1.0,5,,K,,37504.0,,31.0,9,1,3.0,633
3,0.00,0.00,2015,1216B000124,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios públicos y la operación de programas públicos",Rehabilitación y Modernización de Infraestructura de Riego y Temporal Tecnificado,Medio Ambiente y Recursos Naturales,Hidroagrícola,Gasto de obra pública,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Querétaro,Proyectos de Inversión,"16,214.89","16,214.89",,22.0,,1.0,2,3.0,K,"16,214.89",26102.0,"16,214.89",141.0,16,5,3.0,B00
5,,59280.0,2011,,Desarrollo Económico,Recursos fiscales,Temas Laborales,,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios administrativos",Ejecución a nivel nacional de los programas y acciones de la Política Laboral,Trabajo y Previsión Social,Otros,Gasto corriente,Delegación Federal del Trabajo en Querétaro,Instrumentación de la política Laboral,,Prestación de Servicios Públicos,,,49849.0,,3.0,1.0,3,,E,,26103.0,,3.0,14,3,1.0,142
3,," 376,128 ",2012,0,Gobierno,Recursos fiscales,Justicia,,Funerales y pagas de defunción,Otras Actividades,Poder Judicial,Impartición de Justicia,Gasto corriente,Consejo de la Judicatura Federal,Impartir justicia en el ámbito de su competencia,Puebla,Específicos,,, -   ,21.0,1.0,1.0,2,,R,,39101.0,,1.0,3,1,1.0,110
3,0.00,"1,000.00",2015,14092110001,,Recursos fiscales,Transporte,Desarrollo Económico,Productos minerales no metálicos,Reconstrucción y Conservación de Carreteras,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Chiapas,"Carreteras eficientes, seguras y suficientes",Chiapas,Proyectos de Inversión,928.12,928.12,,7.0,,1.0,5,3.0,K,928.12,24101.0,928.12,32.0,9,1,3.0,627
1,," 724,072 ",2012,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Aportaciones al seguro de cesantía en edad avanzada y vejez,Actividades de apoyo a la función pública y buen gobierno,Educación Pública,Función Pública,Gasto corriente,Instituto Nacional de Bellas Artes y Literatura,Función pública y buen gobierno,Distrito Federal,Apoyo a la función pública y al mejoramiento de la gestión,,," 724,072 ",9.0,1.0,1.0,3,,O,,14105.0,,1.0,11,4,1.0,E00
1, -   ," 552,540 ",2014, 0 ,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Pago extraordinario por riesgo,Actividades de apoyo a la función pública y buen gobierno,Gobernación,Función Pública,Gasto corriente,Policía Federal  ,Función pública y buen gobierno, Distrito Federal ,Apoyo a la función pública y al mejoramiento de la gestión," 524,683 "," 524,683 ",,9.0,,1.0,3,1.0,O," 524,683 ",15902.0," 524,683 ",1.0,4,4,1.0,L00
2,0.00,"180,500.00",2015,0,,Recursos fiscales,Protección Ambiental,Desarrollo Social,Refacciones y accesorios menores de equipo de transporte,Actividades de apoyo administrativo,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Delegación Federal en Zacatecas,Servicios de apoyo administrativo,Zacatecas,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,"173,498.36","173,498.36",,32.0,,1.0,1,2.0,M,"173,498.36",29601.0,"173,498.36",1.0,16,6,1.0,152
4, -   ," 6,500 ",2014, 0 ,,Recursos fiscales,Transporte,Desarrollo Económico,Servicio de agua,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Transporte por Agua y Puertos,Gasto corriente,Centro SCT Puebla,Puertos eficientes y competitivos, Puebla ,Regulación y supervisión," 5,958 "," 5,958 ",,21.0,,1.0,5,3.0,G," 5,958 ",31301.0," 5,958 ",2.0,9,2,1.0,641
8,0.00,0.00,2015,0,,Recursos fiscales,Protección Social,Desarrollo Social,Información en medios masivos derivada de la operación y administración de las dependencias y entidades,PROSPERA Programa de Inclusión Social,Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Coordinación Nacional de PROSPERA Programa de Inclusión Social,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",San Luis Potosí,Sujetos a Reglas de Operación,"13,840.00","13,840.00",,24.0,,1.0,6,2.0,S,"13,840.00",33605.0,"13,840.00",72.0,20,8,7.0,G00
14,,35200.0,2011,,Desarrollo Social,Recursos fiscales,Salud,,Viáticos nacionales para servidores públicos en el desempeño de funciones oficiales,"Promoción de la salud, prevención y control de enfermedades crónico degenerativas y transmisibles y lesiones",Salud,Rectoría del Sistema de Salud,Gasto corriente,Secretariado Técnico del Consejo Nacional de Salud Mental,Sistema Nacional de Salud organizado e integrado,,"Planeación, seguimiento y evaluación de políticas públicas",,,31015.0,,2.0,1.0,1,,P,,37504.0,,14.0,12,4,1.0,313
7,," 2,000.0 ",2010,,Desarrollo Económico,Recursos fiscales,Desarrollo Sustentable,,Pasajes terrestres nacionales para labores en campo y de supervisión,Regulación de la prevención y control de la contaminación de los recursos naturales,Medio Ambiente y Recursos Naturales,Protección y Conservación del Medio Ambiente y los Recursos Naturales,Gasto corriente,Delegación Federal en Quintana Roo,Regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales.,,Regulación y supervisión,,," 3,618.0 ",,3.0,1.0,9,,G,,3808.0,,3.0,16,2,1.0,143
2," 330,290 "," 2,345,124 ",2014, 0 ,,Recursos fiscales,Salud,Desarrollo Social,Compensación por actualización y formación académica,Actividades de apoyo administrativo,Salud,Rectoría del Sistema de Salud,Gasto corriente,Dirección General de Calidad y Educación en Salud,Servicios de apoyo administrativo, Distrito Federal ,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional," 2,963,971 "," 2,963,971 ",,9.0,,1.0,3,2.0,M," 2,963,971 ",13410.0," 2,633,681 ",1.0,12,4,1.0,610
2,," 40,000.0 ",2010,,Desarrollo Social,Recursos fiscales,Salud,,Servicio de energía eléctrica,Actividades de apoyo administrativo,Salud,Rectoría del Sistema de Salud,Gasto corriente,Instituto Nacional de Perinatología Isidro Espinosa de los Reyes,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,," 35,077.0 ",,2.0,1.0,1,,M,,3106.0,,1.0,12,4,1.0,NDE
10, -   , 500 ,2014, 0 ,,Recursos fiscales,Educación,Desarrollo Social,Pasajes terrestres nacionales para labores en campo y de supervisión,Diseño y aplicación de la política educativa,Educación Pública,Otros Servicios Educativos y Actividades Inherentes,Gasto corriente,Delegación Federal de la Secretaría de Educación Pública en el Estado de Hidalgo,Diseño y aplicación de la política educativa, Hidalgo ,"Planeación, seguimiento y evaluación de políticas públicas", 184 , 184 ,,13.0,,1.0,5,2.0,P, 184 ,37201.0, 184 ,1.0,11,6,1.0,133
25,," 2,668,794.0 ",2010,,Desarrollo Social,Recursos fiscales,Salud,,Servicios de conducción de señales analógicas y digitales,Asistencia social y protección del paciente,Salud,Rectoría del Sistema de Salud,Gasto corriente,Comisión Nacional de Arbitraje Médico,Políticas de calidad implementadas en el Sistema Nacional de Salud,,"Planeación, seguimiento y evaluación de políticas públicas",,," 2,255,833.0 ",,2.0,1.0,1,,P,,3109.0,,13.0,12,4,1.0,M00
2,,1954.0,2011,,Gobierno,Recursos fiscales,"Orden, Seguridad y Justicia",,Mantenimiento y conservación de bienes informáticos,Actividades de apoyo administrativo,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,Dirección General de Recursos Materiales y Servicios Generales,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,0.0,,1.0,1.0,6,,M,,35301.0,,1.0,17,3,1.0,812
3,," 91,212.0 ",2010,,Gobierno,Recursos fiscales,"Orden, Seguridad y Justicia",,Materiales y útiles de oficina,Impartición de Justicia Fiscal y Administrativa,Tribunal Federal de Justicia Fiscal y Administrativa,Impartición de Justicia,Gasto corriente,"Primera Sala Regional Peninsular, con sede en Mérida, Yuc.",Impartición de justicia en materia fiscal y administrativa,,Prestación de Servicios Públicos,,," 109,519.0 ",,1.0,1.0,6,,E,,2101.0,,1.0,32,4,1.0,119
3,," 33,063.0 ",2010,,Desarrollo Económico,Recursos fiscales,Temas Empresariales,,Servicios integrales,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,"Micro, Pequeñas y Medianas Empresas",Gasto corriente,Delegación en Guanajuato,"Micro, Pequeñas y Medianas Empresas producctivas y competitivas",,Prestación de Servicios Públicos,,," 30,380.0 ",,3.0,1.0,4,,E,,3417.0,,9.0,10,1,1.0,731
10,," 3,600.0 ",2013,9096340024,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios de vigilancia,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Jalisco,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Jalisco,Proyectos de Inversión, -   ,, -   ,14.0,3.0,1.0,5,,K,,33801.0,,31.0,9,1,3.0,634
1,, -   ,2012,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Aportaciones al Sistema de Ahorro para el Retiro,Capacitar y educar para el ejercicio democrático de la ciudadanía,Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Hidalgo,Específicos,,," 4,800 ",13.0,1.0,1.0,3,,R,,14301.0,,3.0,22,6,1.0,200
3,,350.0,2011,,Gobierno,Recursos fiscales,"Orden, Seguridad y Justicia",,Compensaciones por servicios eventuales,Impartición de Justicia Fiscal y Administrativa,Tribunal Federal de Justicia Fiscal y Administrativa,Impartición de Justicia,Gasto corriente,"Sala Regional del Centro III, con sede en Celaya, Guanajuato.",Impartición de justicia en materia fiscal y administrativa,,Prestación de Servicios Públicos,,,0.0,,1.0,1.0,6,,E,,13404.0,,1.0,32,4,1.0,115
2, -   ," 10,000 ",2014, 0 ,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,"Materiales, accesorios y suministros médicos",Actividades de apoyo administrativo,Medio Ambiente y Recursos Naturales,Silvicultura,Gasto corriente,Comisión Nacional Forestal,Servicios de apoyo administrativo, Jalisco ,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional," 9,538 "," 9,538 ",,14.0,,1.0,2,3.0,M," 9,538 ",25401.0," 9,538 ",1.0,16,2,1.0,RHQ
19,, 250.0 ,2013,0,Desarrollo Social,Recursos fiscales,Salud,,Materiales y útiles de impresión y reproducción,Capacitación técnica y gerencial de recursos humanos para la salud,Salud,Generación de Recursos para la Salud,Gasto corriente,Instituto Nacional de Medicina Genómica,Formación y capacitación de recursos humanos acordes a las necesidades y demandas de atención a la salud,Distrito Federal,Prestación de Servicios Públicos, 250.0 ,, 250.0 ,9.0,2.0,1.0,3,,E,,21201.0,,19.0,12,3,1.0,NCH
6,0.00,"50,000.00",2015,0,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Refacciones y accesorios para equipo de cómputo y telecomunicaciones,"Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Delegación en Tamaulipas,Elevar el ingreso de los productores y el empleo rural,Tamaulipas,"Planeación, seguimiento y evaluación de políticas públicas","50,000.00","50,000.00",,28.0,,1.0,2,3.0,P,"50,000.00",29401.0,"50,000.00",1.0,8,1,1.0,148
9,, -   ,2010,,Desarrollo Económico,Recursos fiscales,Desarrollo Agropecuario y Forestal,,Materiales y útiles para el procesamiento en equipos y bienes informáticos,Programa de Soporte,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Apoyos a la Producción,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Delegación en Yucatán,"Impulso a la Reconversión Productiva en Materia Agrícola, Pecuaria y Pesquera",,Sujetos a Reglas de Operación,,," 2,122.0 ",,3.0,1.0,2,,S,,2106.0,,198.0,8,1,7.0,151
3,," 90,000 ",2012,11096250001,Desarrollo Económico,Recursos fiscales,Transporte,,Arrendamiento de edificios y locales,Proyectos de infraestructura económica de carreteras,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Coahuila,"Carreteras eficientes, seguras y suficientes",Coahuila,Proyectos de Inversión,,," 7,037 ",5.0,3.0,1.0,5,,K,,32201.0,,3.0,9,1,3.0,625
4,," 215,541 ",2012,0,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Aportaciones al ISSSTE,Implementación de políticas enfocadas al medio agrario,Reforma Agraria,Agropecuaria,Gasto corriente,Delegación Estatal en Tabasco,Ordenamiento y regularización de la propiedad rural,Tabasco,"Planeación, seguimiento y evaluación de políticas públicas",,," 109,479 ",27.0,3.0,1.0,2,,P,,14101.0,,1.0,15,1,1.0,147
1,, -   ,2013,0,Gobierno,Ingresos Propios,Otros Servicios Generales,,Estudios e investigaciones,Producción y difusión de información estadística y geográfica de interés nacional,Información Nacional Estadística y Geográfica,Servicios Estadísticos,Gasto corriente,Instituto Nacional de Estadística y Geografía,Sistema Nacional de Información Estadística y Geográfica,Guerrero,"Planeación, seguimiento y evaluación de políticas públicas"," 40,600.0 ",," 40,600.0 ",12.0,1.0,4.0,8,,P,,33501.0,,2.0,40,2,1.0,100
3,, -   ,2013,0,Gobierno,Recursos fiscales,Justicia,,Compensación garantizada,Otras Actividades,Poder Judicial,Impartición de Justicia,Gasto corriente,Suprema Corte de Justicia de la Nación,Impartir justicia en el ámbito de su competencia,Coahuila,Específicos," 1,103,235.1 ",," 1,103,235.1 ",5.0,1.0,1.0,2,,R,,15402.0,,1.0,3,1,1.0,100
11,," 2,088 ",2012,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Servicios de jardinería y fumigación,"Servicios migratorios en fronteras, puertos y aeropuertos",Gobernación,Población,Gasto corriente,Instituto Nacional de Migración,Servicio de Migración y política migratoria,San Luis Potosí,Prestación de Servicios Públicos,,," 6,264 ",24.0,1.0,1.0,3,,E,,35901.0,,8.0,4,7,1.0,K00
