ACTIVIDAD_INST_DESCRIPCION,AI,Actividad Institucional,CLAVE_CARTERA,CONCEPTO,CONCEPTO_DESCRIPCION,Ciclo,Clave de Cartera,Descripción de Actividad Institucional,Descripción de Entidad Federativa,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción del Identificador de Programa Presupuestario,Descripción del Identificador del Programa Presupuestario,Descripciónde Fuente de Financiamiento,Descripciónde Tipo de Gasto,EF,ENTIDAD_FED_DESCRIPCION,Entidad Federativa,FF,FN,FUENTE_FINAN_DESCRIPCION,FUNCIONL_DESCRIPCION,Finalidad,Fuente de Financiamiento,Función,GF,GRUPO_FUN_DESCRIPCION,Grupo Funcional,Identificador de Programa Presupuestario,Identificador del Programa Presupuestario,Importe Presupuesto de Egresos de la Federación (PEF),MOD,MODALIDAD_DESCRIPCION,Objeto del Gasto,PEF_2016,PP,PROGR_PRES_DESCRIPCION,Programa Presupuestario,RA,RAMO_DESCRIPCION,REASIGNACION_DESCRIPCION,Ramo,SF,SUBFUNCIONL_DESCRIPCION,Subfunción,TG,TIPO_GASTO_DESCRIPCION,Tipo de Gasto,UNIDAD,UNIDAD_DESCRIPCION,Unidad Responsable,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,9.0,,,,2015.0,0,,Tlaxcala,Desarrollo Social,Recursos fiscales,Protección Social,,Remuneraciones adicionales y especiales,Pensiones y Jubilaciones,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Edad Avanzada,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Pago de Pensiones y Jubilaciones a la población derechohabiente del ISSSTE,,Pensiones y jubilaciones,,,,,29.0,,,,,2.0,1.0,6.0,,,,,J,"$101,415.00",,,1300.0,,,,26.0,,,,51,,,2.0,,,1.0,,,GYN,,,,,,,
,,12.0,,,,2015.0,0,,Morelos,Desarrollo Social,Ingresos Propios,Protección Social,,Remuneraciones adicionales y especiales,Programas y Servicios de Apoyo para la Adquisición de Medicinas y Productos Farmacéuticos,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros de Seguridad Social y Asistencia Social,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Comercialización de productos básicos en Tiendas y Farmacias del ISSSTE,,Prestación de Servicios Públicos,,,,,17.0,,,,,2.0,4.0,6.0,,,,,E,"$34,708.00",,,1300.0,,,,40.0,,,,51,,,9.0,,,1.0,,,GYN,,,,,,,
,,18.0,,,,2010.0,,,,Desarrollo Social,Recursos fiscales,Salud,,Erogaciones del Gobierno Federal por Concepto de Seguridad Social y Seguros,Prestación de servicios en los diferentes niveles de atención a la salud,Salud,Prestación de Servicios de Salud a la Persona,Gasto corriente,Hospital Juárez de México,Prestación de servicios del Sistema Nacional de Salud organizados e integrados,,Prestación de Servicios Públicos,,,,,,,,,,2.0,1.0,1.0,,,,,E,63189392.0,,,1400.0,,,,23.0,,,,12,,,2.0,,,1.0,,,NAW,,,,,,,
,,3.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,Transporte,,"Servicios profesionales, cientificos, tecnicos y otros servicios",Reconstrucción y Conservación de Carreteras,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Baja California Sur,"Carreteras eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,,,,,,3.0,1.0,5.0,,,,,K,"150,000.00",,,3300.0,,,,32.0,,,,9,,,1.0,,,3.0,,,623,,,,,,,
,,13.0,,,,2015.0,0,,Distrito Federal,Desarrollo Económico,Ingresos Propios,Combustibles y Energía,,"Materiales de administración, emisión de documentos y artículos oficiales",Planeación y dirección de los procesos productivos,Energía,Electricidad,Gasto corriente,Comisión Federal de Electricidad,Generación de energía eléctrica,,Específicos,,,,,9.0,,,,,3.0,4.0,3.0,,,,,R,"$42,542.00",,,2100.0,,,,585.0,,,,48,,,5.0,,,1.0,,,TOQ,,,,,,,
,,2.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,Salud,,"Servicios financieros, bancarios y comerciales",Actividades de apoyo administrativo,Salud,Generación de Recursos para la Salud,Gasto corriente,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,9.0,,,,,2.0,1.0,3.0,,,,,M,"$3,400.00",,,3400.0,,,,1.0,,,,12,,,3.0,,,1.0,,,M7F,,,,,,,
,,4.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,Transporte,,Otras prestaciones sociales y economicas,Definición y conducción de la política de comunicaciones y transportes,Comunicaciones y Transportes,Transporte por Agua y Puertos,Gasto corriente,Dirección General de Fomento y Administración Portuaria,Puertos eficientes y competitivos,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,5.0,,,,,P,"92,290.00",,,1500.0,,,,1.0,,,,9,,,2.0,,,1.0,,,512,,,,,,,
Promoci¢n y coordinaci¢n de las pol¡ticas publicas para el desarrollo de los pueblos y comunidades ind¡genas,16.0,,0,3900.0,Otros servicios generales,2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,6.0,Recursos fiscales,Protecci¢n Social,,,,2.0,Desarrollo Social,,,,,P,"Planeaci¢n, seguimiento y evaluaci¢n de pol¡ticas p£blicas",," 6,038,933 ",13.0,Planeaci¢n y Articulaci¢n de la Acci¢n P£blica hacia los Pueblos Ind¡genas,,0.0,Entidades no Sectorizadas,Otros,47,7.0,Ind¡genas,,1.0,Gasto corriente,,AYB,Comisi¢n Nacional para el Desarrollo de los Pueblos Ind¡genas,,,,,,,,
,,3.0,,,,2012.0,,,,Desarrollo Económico,Recursos fiscales,"Ciencia, Tecnología e Innovación",,"Combustibles, lubricantes y aditivos",Realización de investigación científica y elaboración de publicaciones,Consejo Nacional de Ciencia y Tecnología,Investigación Científica,Gasto corriente,"Instituto de Investigaciones ""Dr. José María Luis Mora""",Generación de conocimiento científico para el bienestar de la población y difusión de sus resultados,,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,8.0,,,,,E,140171.0,,,2600.0,,,,1.0,,,,38,,,1.0,,,1.0,,,91S,,,,,,,
,,3.0,,,,2011.0,,,,Desarrollo Social,Recursos fiscales,Educación,,Aportaciones,FAEB Nuevo León,Aportaciones Federales para Entidades Federativas y Municipios,Educación Básica,Gasto de capital diferente de obra pública,"Dirección General de Programación y Presupuesto ""A""",Fondo de Aportaciones para la Educación Básica y Normal,,Gasto Federalizado,,,,,,,,,,2.0,1.0,0.0,,,,,I,8552234.0,,,8300.0,,,,119.0,,,,33,,,1.0,,,2.0,,,416,,,,,,,
Apoyo y Desarrollo Institucional,4.0,,0,2200.0,Alimentos y utensilios,2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,2.0,Recursos fiscales,Justicia,,,,1.0,Gobierno,,,,,P,"Planeaci¢n, seguimiento y evaluaci¢n de pol¡ticas p£blicas",," 79,104 ",19.0,Planear las actividades y analizar los resultados institucionales,,0.0,Comisi¢n Nacional de los Derechos Humanos,Otros,35,4.0,Derechos Humanos,,1.0,Gasto corriente,,110,Direcci¢n General de Planeaci¢n y An lisis,,,,,,,,
,,3.0,,,,2014.0,,,,Desarrollo Social,Ingresos Propios,Salud,,Otras prestaciones sociales y economicas,Atención a la salud pública,Instituto Mexicano del Seguro Social,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto Mexicano del Seguro Social,Eficacia en la atención médica preventiva,,Prestación de Servicios Públicos,,,,,,,,,,2.0,4.0,3.0,,,,,E,"1,834,375.00",,,1500.0,,,,1.0,,,,GYR,,,2.0,,,1.0,,,GYR,,,,,,,
,,4.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Justicia,,"Servicios de instalación, reparación, mantenimiento y conservación",Investigar y perseguir los delitos del orden federal,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,Dirección General de Control y Registro de Aseguramientos Ministeriales,Investigación del delito federal,,Prestación de Servicios Públicos,,,,,9.0,,,,,1.0,1.0,2.0,,,,,E,"$1,044,068.00",,,3500.0,,,,2.0,,,,17,,,2.0,,,1.0,,,814,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sistema Nacional de Salud organizado e integrado,14.0,,0,3700.0,Servicios de traslado y vi ticos,2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,3.0,Recursos fiscales,Salud,,,,2.0,Desarrollo Social,,,,,P,"Planeaci¢n, seguimiento y evaluaci¢n de pol¡ticas p£blicas",," 1,321,295 ",12.0,Rector¡a en Salud,,0.0,Salud,Otros,12,4.0,Rector¡a del Sistema de Salud,,1.0,Gasto corriente,,600,Subsecretar¡a de Integraci¢n y Desarrollo del Sector Salud,,,,,,,,
,,8.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,Transporte,,Remuneraciones al personal de caracter transitorio,Definición y conducción de la política de comunicaciones y transportes,Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Coordinación General de Centros SCT,Regulación eficiente de las comunicaciones y los transportes,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,5.0,,,,,P,"7,937,129.00",,,1200.0,,,,1.0,,,,9,,,6.0,,,1.0,,,600,,,,,,,
,,10.0,,,,2008.0,,Diseño y aplicación de la política educativa,,,Recursos fiscales,Educación,Desarrollo Social,Servicios de Mantenimiento y Conservación,Diseño y aplicación de la política educativa,Educación Pública,Apoyo en Servicios Educativos Concurrentes,Gasto corriente,Oficina de Servicios Federales de Apoyo a la Educación en el Estado de Guanajuato,,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",,,,,,,,,,,,1.0,0.0,,,2.0,P,,181793.0,,,3500.0,,,,1.0,,,,11,,,8.0,,,1.0,,,131,,,,,,,
,,4.0,,,,2012.0,,,,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Servicios oficiales,"Asesoraría, coordinación, difusión y apoyo técnico de las actividades del Presidente de la República",Presidencia de la República,Presidencia / Gubernatura,Gasto corriente,Secretaría Particular,"Asesoría, coordinación, difusión y apoyo de las actividades del Presidente de la República",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,1.0,1.0,3.0,,,,,P,18414000.0,,,3800.0,,,,2.0,,,,2,,,1.0,,,1.0,,,112,,,,,,,
,,10.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,Educación,,Servicios de traslado y viaticos,Diseño y aplicación de la política educativa,Educación Pública,Otros Servicios Educativos y Actividades Inherentes,Gasto corriente,Oficina de Servicios Federales de Apoyo a la Educación en el Estado de Jalisco,Diseño y aplicación de la política educativa,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,2.0,1.0,5.0,,,,,P,"5,500.00",,,3700.0,,,,1.0,,,,11,,,6.0,,,1.0,,,134,,,,,,,
,,3.0,,,,2015.0,0,,Distrito Federal,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,"Servicios profesionales, científicos, técnicos y otros servicios",Prevención y eliminación de prácticas y concentraciones monopólicas y demás restricciones a la competencia y libre concurrencia,Comisión Federal de Competencia Económica,Asuntos Económicos y Comerciales en General,Gasto corriente,Secretaría Técnica,Prevención y eliminación de prácticas y concentraciones monopólicas y demás restricciones a la competencia y libre concurrencia.,,Regulación y supervisión,,,,,9.0,,,,,3.0,1.0,1.0,,,,,G,"$674,735.00",,,3300.0,,,,6.0,,,,41,,,1.0,,,1.0,,,700,,,,,,,
,,3.0,,,,2008.0,,"Carreteras eficientes, seguras y suficientes",,,Recursos fiscales,Comunicaciones y  Transportes,Desarrollo Económico,"Herramientas, Refacciones y Accesorios","Estudios técnicos para la construcción, conservación y operación de infraestructura de comunicaciones y transportes",Comunicaciones y Transportes,Carreteras,Gasto corriente,Centro SCT Coahuila,,Prestación de servicios públicos,,,,,,,,,,,,1.0,1.0,,,3.0,E,,46509.0,,,2300.0,,,,4.0,,,,9,,,1.0,,,1.0,,,625,,,,,,,
,,8.0,,,,2013.0,,,,Desarrollo Económico,Recursos fiscales,Transporte,,"Herramientas, refacciones y accesorios menores",Definición y conducción de la política de comunicaciones y transportes,Comunicaciones y Transportes,Transporte Aéreo,Gasto corriente,Centro SCT Aguascalientes,Regulación eficiente de las comunicaciones y los transportes,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,5.0,,,,,P,10000.0,,,2900.0,,,,1.0,,,,9,,,4.0,,,1.0,,,621,,,,,,,
,,3.0,,,,2008.0,,Manejo eficiente y sustentable del agua y prevención de inundaciones,,,Recursos fiscales,Desarrollo Sustentable,Desarrollo Económico,Materiales y Útiles de Administración y de Enseñanza,Administración Sustentable del Agua,Medio Ambiente y Recursos Naturales,Administración del Agua,Gasto corriente,Comisión Nacional del Agua,,Regulación y supervisión,,,,,,,,,,,,1.0,9.0,,,3.0,G,,8453169.0,,,2100.0,,,,1.0,,,,16,,,1.0,,,1.0,,,B00,,,,,,,
Funci¢n p£blica y buen gobierno,1.0,,0,3500.0,"Servicios de instalaci¢n, reparaci¢n, mantenimiento y conservaci¢n",2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,3.0,Recursos fiscales,Coordinaci¢n de la Pol¡tica de Gobierno,,,,1.0,Gobierno,,,,,O,Apoyo a la funci¢n p£blica y al mejoramiento de la gesti¢n,," 292,963 ",1.0,Actividades de apoyo a la funci¢n p£blica y buen gobierno,,0.0,Trabajo y Previsi¢n Social,Otros,14,4.0,Funci¢n P£blica,,1.0,Gasto corriente,,115,àrgano Interno de Control,,,,,,,,
,,10.0,,,,2015.0,5096320036,,Guerrero,Desarrollo Económico,Recursos fiscales,Transporte,,"Servicios de instalación, reparación, mantenimiento y conservación",Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Guerrero,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,12.0,,,,,3.0,1.0,5.0,,,,,K,"$4,750.00",,,3500.0,,,,31.0,,,,9,,,1.0,,,3.0,,,632,,,,,,,
,,3.0,,,,2009.0,,Apoyo en zonas urbanas marginadas,,,,"Urbanización, Vivienda y Desarrollo Regional",Desarrollo Social,Subsidios a la producción,Rescate de espacios públicos,Desarrollo Social,Urbanización,,Delegación SEDESOL en Veracruz,,Sujetos a Reglas de Operación,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,3.0,,,2.0,S,,10000000.0,,,4101.0,,,,175.0,,,,20,,,1.0,,,1.0,,,150,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pol¡tica interior y las relaciones del Ejecutivo Federal con el Congreso de la Uni¢n, Entidades Federativas y Asociaciones Pol¡ticas y Sociales",6.0,,0,1200.0,Remuneraciones al personal de car cter transitorio,2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,3.0,Recursos fiscales,Coordinaci¢n de la Pol¡tica de Gobierno,,,,1.0,Gobierno,,,,,P,"Planeaci¢n, seguimiento y evaluaci¢n de pol¡ticas p£blicas",," 1,589,439 ",1.0,Conducci¢n de la pol¡tica interior,,0.0,Gobernaci¢n,Otros,4,2.0,Pol¡tica Interior,,1.0,Gasto corriente,,211,Unidad de Gobierno,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.0,,,,2015.0,0,,Michoacán,Gobierno,Recursos fiscales,Otros Servicios Generales,,Otras prestaciones sociales y económicas,Producción y difusión de información estadística y geográfica de interés nacional,Información Nacional Estadística y Geográfica,Servicios Estadísticos,Gasto corriente,Instituto Nacional de Estadística y Geografía,Sistema Nacional de Información Estadística y Geográfica,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,16.0,,,,,1.0,1.0,8.0,,,,,P,"$2,108,222.00",,,1500.0,,,,2.0,,,,40,,,2.0,,,1.0,,,100,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.0,,,,2010.0,,,,Gobierno,Recursos fiscales,"Orden, Seguridad y Justicia",,Remuneraciones Adicionales y Especiales,Impartición de Justicia Fiscal y Administrativa,Tribunal Federal de Justicia Fiscal y Administrativa,Impartición de Justicia,Gasto corriente,"Segunda Sala Regional de Occidente, con sede en Guadalajara, Jal.",Impartición de justicia en materia fiscal y administrativa,,Prestación de Servicios Públicos,,,,,,,,,,1.0,1.0,6.0,,,,,E,1181574.0,,,1300.0,,,,1.0,,,,32,,,4.0,,,1.0,,,205,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,Transporte,,"Combustibles, lubricantes y aditivos",Actividades de apoyo administrativo,Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Centro SCT Tamaulipas,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,3.0,1.0,5.0,,,,,M,"856,818.00",,,2600.0,,,,1.0,,,,9,,,6.0,,,1.0,,,648,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Justicia,,Seguridad social,Actividades de apoyo administrativo,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,Dirección General de Tecnologías de Información y Comunicaciones,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,9.0,,,,,1.0,1.0,2.0,,,,,M,"$2,048,911.00",,,1400.0,,,,1.0,,,,17,,,2.0,,,1.0,,,813,,,,,,,
,,14.0,,,,2015.0,0,,Coahuila,Desarrollo Social,Recursos fiscales,Protección Social,,Remuneraciones adicionales y especiales,Gastos Administrativos por Operación de Fondos y Seguros,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros de Seguridad Social y Asistencia Social,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,"TURISSSTE, Agencias de Servicios Turísticos",,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,5.0,,,,,2.0,1.0,6.0,,,,,M,"$38,731.00",,,1300.0,,,,2.0,,,,51,,,9.0,,,1.0,,,GYN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,Protección Ambiental,,Seguridad social,"Planeación, Dirección y Evaluación Ambiental",Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Secretaría,Formulación y Conducción de la Política de Medio Ambiente y Recursos Naturales,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,2.0,1.0,1.0,,,,,P,"411,585.00",,,1400.0,,,,2.0,,,,16,,,6.0,,,1.0,,,100,,,,,,,
